1
50 50 1
81 46 20 46
50 28 73 50
27 83 78 66
39 27 43 49
24 42 11 27
24 33 83 40
46 66 78 6
1 2 14 82
21 87 54 18
55 24 27 18
35 72 18 63
32 43 27 49
50 82 14 18
59 94 99 88
34 46 6 64
31 44 21 66
52 50 18 91
45 65 32 50
54 18 72 18
83 27 11 42
34 34 34 64
39 46 20 87
16 16 33 1
32 49 38 3
12 46 93 35
93 41 70 40
63 91 71 35
53 30 50 98
66 50 73 31
32 65 93 40
53 19 4 30
90 40 83 96
94 16 1 99
3 38 28 41
59 88 39 87
7 4 2 1
35 93 61 52
76 70 41 65
76 65 4 19
41 28 4 7
34 88 52 91
34 34 34 88
32 37 90 96
55 18 21 44
24 43 54 33
46 12 37 32
61 98 50 52
16 71 91 33
50 54 43 28
45 50 87 21
