1
2500 50 50
510 912 264 252
244 15 178 958
47 18 391 619
320 815 220 647
667 388 728 128
116 915 840 343
506 101 541 95
760 800 137 278
453 167 590 783
898 705 295 555
149 536 187 640
947 618 278 354
601 571 148 639
555 415 821 39
712 227 388 173
11 48 23 425
668 886 101 776
768 490 136 921
867 48 445 344
115 514 16 252
63 716 865 56
654 69 659 410
168 637 286 529
19 996 838 344
173 256 127 414
238 342 377 334
101 425 900 811
198 579 872 976
90 323 837 966
126 180 529 286
691 708 964 486
448 892 529 579
875 699 56 542
677 389 258 743
751 309 786 186
253 996 969 954
799 886 183 174
413 127 742 240
354 761 650 337
139 991 836 614
391 284 432 879
28 716 81 900
490 48 502 239
257 692 390 634
550 825 337 951
610 490 777 567
254 529 892 525
445 604 50 751
518 560 918 628
129 870 13 981
845 802 389 132
595 337 181 261
662 375 490 194
282 113 759 111
508 801 531 718
766 190 90 134
36 67 191 59
76 765 761 803
815 978 206 987
914 537 886 347
705 898 634 280
707 986 392 898
126 668 450 666
123 464 962 213
18 859 69 518
434 715 902 15
525 522 133 827
339 162 926 663
171 716 446 881
54 548 56 729
640 868 912 954
632 242 822 299
945 499 656 614
619 28 257 709
413 450 800 117
793 186 917 205
183 753 439 795
728 577 705 709
594 482 709 834
23 188 457 250
757 752 500 979
502 703 732 324
142 154 170 914
519 848 918 902
746 657 41 198
741 680 326 400
53 194 130 212
846 831 629 594
420 827 688 646
537 602 683 850
253 371 51 396
596 900 896 97
319 34 6 583
716 944 831 694
658 339 393 753
778 714 953 285
233 355 482 296
599 203 377 547
469 873 165 724
576 539 957 871
40 220 309 477
331 189 872 629
744 281 761 197
355 286 622 816
113 111 852 789
354 92 894 124
313 330 742 866
129 715 434 845
176 788 170 551
402 555 829 1
898 446 586 502
926 911 573 262
472 959 533 578
528 581 680 760
66 626 741 400
789 803 685 307
358 513 240 502
365 876 62 818
276 456 989 486
211 964 594 606
759 924 651 428
609 31 6 970
886 978 817 953
241 634 682 414
658 629 752 921
631 327 791 923
642 818 62 207
640 135 254 149
309 125 58 786
550 172 62 768
464 550 24 103
894 664 799 425
523 233 743 107
816 622 684 803
344 445 355 396
764 978 256 189
595 722 225 897
464 123 545 635
911 145 347 609
263 924 176 471
538 238 616 805
912 316 310 339
289 805 55 103
585 186 14 15
338 897 802 647
153 929 560 277
816 803 56 814
996 150 555 872
46 732 683 578
338 21 206 451
148 257 897 415
383 39 194 303
146 332 902 799
611 769 140 486
880 716 606 224
591 707 967 538
34 239 600 510
44 17 622 398
326 992 807 730
528 525 757 191
820 7 149 431
953 714 1 87
849 898 536 842
609 133 522 737
179 688 389 886
292 272 222 746
364 879 124 490
516 469 724 508
55 650 528 168
335 281 612 519
262 504 288 137
737 522 68 458
725 162 133 609
895 441 549 887
381 965 942 826
618 157 760 278
336 292 566 46
518 388 152 416
446 316 525 352
409 833 126 204
502 144 707 898
84 310 83 704
849 356 688 689
789 230 924 164
926 262 384 995
971 536 149 520
454 505 325 567
341 697 196 466
47 143 418 13
809 688 606 466
24 716 114 235
45 320 155 808
970 838 996 257
141 409 137 47
382 606 722 563
131 307 284 132
709 848 853 834
617 210 654 187
126 47 619 360
793 992 572 323
759 668 126 882
674 875 26 376
59 553 758 155
530 480 188 929
956 19 39 383
563 722 719 690
60 716 849 690
113 897 739 111
778 853 785 60
56 699 344 762
296 489 16 89
947 728 351 235
956 404 15 191
284 816 296 68
604 686 371 50
939 938 962 425
300 225 313 993
143 678 165 180
293 171 881 189
55 257 818 528
674 877 718 911
131 945 130 524
775 24 529 388
555 402 500 872
326 714 113 486
584 908 15 610
766 178 234 129
615 817 528 908
270 996 348 967
451 529 254 560
605 205 218 634
690 278 1 714
599 490 52 816
65 650 658 296
924 268 16 319
938 937 703 589
74 960 525 892
